port_number,amount_of_traffic
49702,11854
49596,11830
2954,11790
56814,11772
4960,11766
2801,11754
45920,11732
39018,11716
57680,11696
45922,11658
49998,11619
2195,11584
2800,11543
17500,11459
3016,11408
2991,11379
50290,11332
4738,11313
57649,11284
52375,11244
49716,11176
57648,11174
39134,11172
2454,11143
2958,11137
57646,11101
57616,11086
13180,11079
50021,11066
1340,11005
2130,11005
49455,10998
49686,10993
54551,10984
1049,10918
54802,10908
57827,10888
43061,10878
38107,10856
49781,10853
59601,10840
14409,10834
68,10800
42063,10777
58926,10755
33182,10754
2957,10743
49829,10733
4744,10719
10004,10693
13268,10669
49701,10619
57647,10618
1765,10557
51105,10526
52135,10498
33068,10475
54567,10298
49724,10291
15451,10288
2108,10277
2806,10263
20934,10254
2722,10253
49802,10250
2807,10223
49332,10164
52203,10144
2164,10127
33261,10098
36077,10093
52160,10027
44305,10025
49806,10017
36492,10009
4961,9992
49907,9976
1195,9971
49688,9961
58884,9961
38177,9953
55697,9952
2176,9934
58234,9918
35786,9909
49333,9904
49930,9883
49783,9874
4711,9834
64529,9824
51088,9809
50687,9806
50522,9799
50401,9792
1751,9780
46429,9769
2723,9766
64370,9764
49824,9757
35788,9756
28387,9730
52917,9712
1050,9674
2113,9669
2172,9658
49675,9635
49680,9627
64372,9625
46075,9623
59420,9612
33264,9579
2198,9528
14528,9519
49927,9513
46428,9499
49274,9409
2170,9405
49177,9403
1139,9398
33698,9392
49848,9379
50000,9365
2121,9359
64541,9288
49826,9281
59920,9262
49168,9261
57689,9250
2805,9208
38039,9183
1346,9182
2129,9171
56469,9161
21339,9145
1026,9118
2786,9117
17188,9094
47919,9089
4930,9075
60022,9070
2573,9069
52018,9058
49311,9049
44954,9044
59960,9040
2157,9037
48139,9011
1500,8993
33186,8984
49931,8979
33642,8973
49336,8967
47910,8959
49818,8949
49344,8939
58985,8934
1450,8932
39036,8929
10641,8925
49334,8912
2377,8900
32957,8891
52157,8873
52158,8872
49759,8857
33263,8838
57607,8821
7443,8784
43049,8756
50022,8755
46274,8745
50808,8743
11075,8693
33183,8687
39068,8676
59990,8666
49751,8657
16657,8653
2125,8632
37377,8625
50973,8624
48919,8624
57539,8608
2978,8553
1338,8549
49843,8544
23,8531
51599,8521
57664,8490
2587,8484
38195,8466
34051,8455
1445,8440
1755,8430
1197,8424
1820,8424
2588,8364
1371,8361
49335,8340
46430,8304
33184,8298
49528,8293
34236,8288
62430,8269
49811,8268
1342,8252
55036,8223
44568,8202
25710,8178
43264,8163
41225,8150
2951,8141
59938,8125
2899,8123
33185,8110
60025,8097
52063,8095
1080,8091
4965,8088
1735,8066
1999,8031
1024,8018
1713,8012
51739,8009
1809,7995
50077,7986
49519,7982
33213,7948
4955,7929
58162,7909
49710,7907
2120,7882
2808,7849
34230,7837
4673,7827
57305,7823
33262,7822
51803,7778
57364,7778
1737,7772
58717,7733
2952,7727
53852,7720
39131,7714
17218,7707
4951,7704
35847,7704
1753,7701
1732,7689
37433,7675
49525,7662
55226,7646
49779,7631
26546,7631
49788,7623
53862,7621
54442,7611
2124,7588
52251,7570
49500,7547
1433,7546
1490,7540
33031,7539
59961,7468
2186,7459
50070,7455
1344,7445
1689,7442
33265,7434
1461,7422
2203,7415
44308,7382
52089,7367
58663,7358
1037,7333
63409,7326
1235,7308
1767,7306
7210,7290
33214,7281
57051,7270
44953,7254
33266,7251
2110,7237
49165,7237
39520,7220
1744,7216
44951,7206
59974,7204
49695,7201
47452,7199
2145,7199
49711,7189
1092,7177
2131,7171
59897,7158
49787,7142
56803,7138
2205,7111
12044,7090
37397,7041
39188,7028
49521,7019
49855,7011
38042,7009
59080,7000
39166,6999
39113,6998
59947,6938
49706,6934
60050,6932
43001,6927
49903,6908
4943,6891
64845,6859
1710,6848
2119,6840
44307,6832
2204,6828
29918,6828
1803,6827
57669,6801
2720,6797
2138,6796
54441,6782
33972,6765
2982,6761
52275,6760
33221,6759
39027,6745
55544,6741
52159,6722
53200,6660
33029,6649
54397,6637
39100,6634
35233,6631
46095,6586
60888,6585
49367,6580
12042,6569
49719,6566
50781,6565
2133,6565
51235,6552
54620,6544
35547,6533
52441,6512
2582,6469
2151,6459
53310,6449
44949,6449
39144,6437
1890,6424
1115,6422
49653,6408
1041,6407
1085,6392
31644,6388
64873,6377
60371,6351
2572,6335
12041,6333
49166,6323
49424,6316
34062,6311
1255,6309
2115,6301
53973,6296
49960,6292
54440,6292
2272,6275
54437,6259
49407,6256
1754,6251
64577,6250
54438,6248
52760,6225
33187,6200
48009,6193
3081,6159
57746,6137
58402,6132
49159,6129
49923,6114
57375,6094
56255,6084
57625,6073
43048,6069
54008,6063
34046,6057
2253,6055
40382,6036
2883,6036
49924,6026
6877,6024
35776,6020
2200,6006
49704,6002
35754,5998
55559,5996
49517,5996
25093,5984
44952,5977
4906,5971
57656,5959
57690,5958
49837,5956
4148,5944
50008,5938
1033,5938
39197,5924
56169,5918
49865,5918
50353,5916
38048,5905
1028,5890
47326,5888
38044,5877
49286,5870
49456,5859
49867,5856
3042,5855
1493,5850
39065,5843
44977,5838
54439,5834
39176,5819
4890,5817
57365,5814
49868,5811
64998,5808
49864,5799
54649,5788
4808,5783
49240,5777
4963,5732
40443,5732
31635,5717
49169,5711
36491,5694
64614,5693
1132,5693
10027,5693
2202,5679
2374,5656
3012,5646
49825,5642
50193,5637
63028,5624
2182,5622
1495,5616
1489,5616
49933,5611
2730,5604
49305,5582
52169,5582
57756,5581
1199,5574
2251,5571
2158,5568
13589,5555
34231,5546
59898,5543
49769,5518
33197,5506
3452,5500
34030,5499
49723,5493
2123,5491
49757,5491
2685,5489
1779,5488
39749,5482
1066,5482
2146,5471
57995,5462
45077,5454
2134,5454
49203,5421
49171,5420
51454,5411
53070,5403
34292,5393
1442,5382
2162,5380
57340,5372
41723,5364
59982,5358
58290,5356
47454,5356
2352,5350
2983,5345
61509,5332
49709,5322
1036,5316
49888,5309
2194,5304
49722,5303
55555,5284
49173,5277
49817,5276
34007,5276
33217,5273
49755,5271
1347,5261
57343,5251
4953,5239
37146,5234
39092,5219
1103,5209
57889,5183
49925,5183
44311,5170
57590,5169
52085,5169
39041,5166
30566,5166
62721,5163
59607,5162
39181,5161
2832,5161
24016,5154
1034,5151
44312,5151
11998,5145
4886,5130
2169,5125
2985,5087
44310,5086
49793,5082
57304,5071
54033,5067
27157,5058
4910,5057
49502,5052
49191,5040
8080,5030
2067,5025
53201,5017
57377,5014
52166,5008
49797,5006
48974,4994
55557,4990
49501,4988
57101,4988
51744,4986
2107,4974
59919,4973
38200,4970
39141,4959
57651,4957
49300,4955
61673,4955
52111,4949
17196,4939
2184,4931
7455,4923
2174,4921
49621,4895
49734,4894
49844,4892
2892,4877
55330,4876
2122,4870
48938,4864
44950,4851
49859,4846
49483,4844
520,4840
52726,4838
49860,4835
2335,4834
40059,4832
1280,4813
2837,4799
49813,4798
49179,4793
34057,4792
49720,4791
56879,4790
56473,4787
2451,4786
47448,4785
60069,4782
39992,4766
49460,4755
57582,4755
52646,4752
49548,4749
49887,4747
59258,4747
49784,4747
47451,4737
1444,4737
50001,4735
39044,4706
3443,4706
2135,4702
1578,4699
57853,4681
57655,4677
4095,4676
49928,4670
49251,4660
33030,4655
2102,4646
12350,4641
2382,4640
49827,4640
49796,4630
1707,4630
48016,4624
57709,4624
3436,4622
50229,4621
1497,4614
49180,4610
50006,4605
2915,4602
3616,4600
33189,4597
1351,4597
48014,4595
42204,4593
4986,4593
52217,4592
40261,4590
54640,4589
17178,4588
49999,4585
50060,4582
1590,4581
49886,4575
2196,4563
53535,4552
49820,4548
2707,4546
49282,4543
49807,4540
48015,4535
4725,4528
50246,4527
47453,4526
1808,4520
61066,4512
32208,4506
2580,4504
64863,4494
10812,4493
49954,4489
50091,4488
49821,4476
2155,4473
17327,4471
42687,4470
59959,4465
1064,4454
631,4451
40085,4447
33218,4444
49768,4444
4971,4440
33192,4439
38018,4433
49980,4427
34010,4423
33191,4421
2160,4415
49195,4409
58367,4408
2373,4392
1805,4390
59971,4386
4967,4383
57446,4382
4904,4375
48018,4374
1933,4373
4932,4373
50033,4372
17278,4371
48017,4369
49672,4356
54905,4355
59936,4344
1339,4343
49241,4334
34296,4329
43440,4312
44220,4306
39189,4292
54010,4289
1447,4283
33215,4281
1811,4278
50080,4277
1055,4276
4147,4269
53869,4265
31469,4256
2063,4252
54069,4251
1042,4250
55594,4244
49161,4237
51947,4236
36092,4234
49842,4226
59905,4196
7444,4191
49162,4189
1610,4189
44517,4183
1706,4181
61034,4177
49578,4177
2980,4174
37422,4169
59991,4167
43002,4157
49809,4155
2998,4150
65026,4146
62595,4144
49197,4137
35567,4135
4947,4125
16001,4124
2826,4122
49261,4118
49160,4109
18200,4106
33188,4100
33216,4099
38020,4084
36555,4082
49828,4080
49482,4079
49322,4076
56456,4062
26150,4061
26625,4056
1446,4056
49965,4055
52087,4044
1865,4030
49932,4026
1680,4021
1677,4021
49766,4019
50523,4015
55043,4014
1435,4013
40089,4011
56630,4008
55309,4008
33200,4006
1048,4003
49503,3997
17144,3993
34654,3992
49478,3990
49804,3986
19413,3984
39158,3981
49632,3975
58900,3975
2981,3974
34623,3966
17191,3961
1369,3960
57757,3955
2979,3952
50068,3950
51951,3944
3437,3940
2149,3939
23954,3937
60049,3936
32996,3935
49277,3934
64883,3934
17189,3933
49713,3932
57298,3930
41837,3928
49425,3923
38022,3921
40086,3917
57406,3916
64517,3915
57632,3915
34006,3915
1353,3913
10791,3904
49845,3901
39023,3898
50888,3895
43043,3894
43069,3891
1084,3890
45125,3886
47450,3881
49170,3880
50589,3880
54869,3878
49633,3878
57657,3871
43019,3871
4486,3859
46006,3858
1743,3858
58401,3852
1618,3851
2468,3850
49152,3848
36095,3847
52094,3847
51525,3846
50223,3824
1079,3824
1095,3823
54432,3823
4892,3820
1068,3817
57654,3816
9643,3816
1354,3813
2206,3811
3478,3809
40521,3808
33270,3806
58466,3803
49800,3801
53745,3800
4740,3789
53895,3785
51948,3782
50740,3778
59904,3776
4868,3771
45219,3763
51949,3759
4796,3757
40484,3755
36910,3753
59900,3751
39965,3750
12656,3744
40384,3743
49964,3743
2148,3739
49527,3739
3204,3736
4979,3733
53119,3723
57447,3723
36146,3712
49289,3709
2427,3709
49717,3703
43545,3702
2100,3699
17279,3689
37287,3688
49620,3684
55607,3679
57633,3677
49255,3672
1222,3671
60182,3671
49792,3670
1030,3670
4737,3670
50914,3669
41847,3664
60974,3663
43919,3652
57701,3644
1624,3644
2455,3643
49234,3642
35628,3641
17198,3635
2193,3628
57824,3626
43098,3625
2853,3620
2181,3613
49791,3607
59604,3605
53026,3603
19656,3602
2168,3599
1449,3596
50161,3590
44986,3589
1789,3586
54094,3582
2462,3580
1747,3577
2178,3574
1781,3573
56896,3573
58817,3568
3566,3567
33267,3558
35533,3557
59606,3542
59603,3536
59400,3531
34050,3531
49877,3529
33272,3529
40088,3529
1797,3527
35548,3524
51413,3523
58608,3523
53663,3522
1070,3521
49830,3519
26949,3518
49815,3514
49201,3511
2564,3510
1494,3510
58818,3505
59605,3503
52938,3495
12235,3495
51748,3484
53117,3483
49968,3479
1081,3474
55025,3474
57667,3473
17115,3472
49293,3471
1025,3471
3241,3468
49167,3467
1745,3467
47549,3467
53730,3464
57688,3461
9100,3456
1759,3455
17300,3455
54628,3452
2105,3447
48447,3440
34608,3438
49164,3437
51281,3435
2109,3433
2642,3430
1801,3425
55541,3424
33193,3424
56958,3423
50078,3421
11671,3419
57759,3413
19871,3413
48561,3408
44402,3407
55743,3406
49249,3406
56649,3400
49990,3398
49934,3397
44774,3395
58816,3394
33222,3394
33041,3393
1062,3391
56640,3391
49798,3391
2600,3390
1362,3390
49438,3385
56648,3380
61070,3379
49697,3373
58467,3373
50040,3370
2153,3367
34237,3367
47228,3367
54415,3366
49835,3360
2208,3359
50074,3358
50324,3357
50086,3353
48512,3349
1373,3343
2333,3342
19213,3338
56891,3334
49892,3334
45956,3332
45076,3330
60382,3328
20990,3321
49834,3321
2819,3319
1773,3316
50868,3314
1739,3311
53195,3310
37273,3309
49417,3308
33974,3305
1054,3305
49819,3302
2534,3301
36657,3294
50083,3291
50076,3291
50015,3287
57766,3287
2818,3279
19957,3278
1496,3276
33529,3275
34294,3274
35903,3271
1799,3269
44254,3254
57321,3254
35798,3243
20982,3240
49767,3237
10155,3236
33190,3235
58840,3234
37240,3230
27365,3226
49846,3224
20995,3223
49343,3215
50063,3211
17194,3211
12045,3202
43004,3199
49854,3194
49926,3192
49765,3192
40785,3189
23611,3184
1027,3182
44476,3175
14256,3174
51002,3174
57775,3173
41677,3173
17212,3168
49852,3165
55057,3165
50079,3160
1628,3158
4908,3157
32903,3155
2276,3154
42135,3154
57367,3152
1749,3152
2004,3152
57293,3148
48029,3146
20987,3144
11482,3143
57427,3137
3546,3133
43920,3133
63045,3132
52590,3132
55037,3132
57788,3131
44209,3127
1692,3126
3544,3125
12825,3123
36649,3117
30391,3114
2929,3113
55018,3113
50110,3113
53197,3113
16182,3108
4864,3108
36489,3106
2144,3104
51750,3103
24783,3102
45482,3101
49268,3101
49341,3098
2827,3098
25630,3096
20991,3092
55980,3087
56568,3082
58607,3079
4197,3076
1210,3076
1704,3073
41911,3073
49265,3070
49747,3068
49805,3068
49853,3066
56098,3065
23958,3064
64929,3060
2354,3060
49997,3059
59962,3056
11735,3055
3006,3054
64432,3053
40783,3052
20976,3052
21000,3052
56585,3051
56554,3051
22370,3051
50762,3049
9739,3049
2684,3048
15435,3047
51921,3046
49732,3044
57760,3042
57324,3042
49708,3041
56076,3041
49941,3041
59609,3040
4894,3038
1622,3037
15292,3033
60933,3032
12694,3032
13895,3031
28933,3029
1356,3028
30065,3026
1676,3026
53199,3025
49431,3024
34056,3022
1783,3022
1343,3019
51625,3014
51761,3012
49935,3009
63169,3008
57466,3006
47340,3004
57323,3003
34221,3001
38276,3000
51000,2998
50642,2997
57396,2996
33105,2994
55975,2993
4912,2992
49194,2991
61854,2991
42334,2986
2358,2982
40670,2981
48882,2981
42049,2980
61396,2979
1057,2979
20886,2978
49833,2973
58465,2973
55315,2970
60056,2969
53198,2967
1367,2967
10823,2965
50081,2965
13664,2963
59937,2962
20999,2961
52710,2960
51646,2958
23718,2958
47880,2955
56652,2951
35836,2951
36478,2950
32432,2949
49814,2948
6691,2946
19634,2946
49822,2942
49816,2941
13220,2940
11296,2940
50621,2939
52161,2939
12877,2935
7442,2934
52881,2933
2964,2932
43917,2931
39191,2931
34238,2929
49397,2929
48178,2929
50572,2929
39163,2927
16576,2926
43225,2926
49266,2925
14602,2925
58172,2922
2590,2922
2589,2922
49915,2922
35498,2920
33954,2920
1674,2920
2140,2919
20992,2919
49966,2919
57395,2918
1701,2917
46341,2917
17308,2916
63793,2915
43916,2914
43914,2913
51741,2912
8237,2911
62271,2911
39522,2911
2117,2911
59229,2911
1896,2910
36801,2910
8063,2909
7232,2906
45691,2906
39310,2905
4973,2904
39409,2904
40522,2903
31355,2903
14904,2901
20979,2898
20989,2898
20980,2898
20986,2898
20994,2898
1074,2898
20998,2898
5404,2897
44116,2897
56174,2896
51813,2895
2456,2895
57686,2894
57302,2894
33569,2892
21257,2892
59902,2891
9966,2891
57687,2891
17818,2890
31604,2889
5921,2889
23579,2889
35793,2888
1375,2888
64882,2887
45129,2886
49321,2886
27864,2886
17975,2886
1358,2885
55159,2884
65105,2884
24387,2883
35859,2883
4981,2881
7080,2880
39121,2879
12489,2879
57711,2878
40141,2876
11088,2876
52781,2875
15305,2875
50960,2874
51745,2872
13595,2872
59924,2871
43915,2871
55177,2871
65397,2871
55514,2870
43326,2866
21005,2865
3217,2863
62585,2862
20984,2858
47165,2858
20975,2858
32074,2858
57214,2857
56324,2856
1761,2854
49911,2853
34060,2852
30362,2851
65205,2850
62116,2849
35172,2848
26937,2847
63872,2845
7702,2844
58284,2844
42414,2842
52432,2842
4426,2841
20794,2840
58311,2839
41491,2836
4628,2836
24319,2835
6940,2834
4983,2834
35200,2832
40090,2831
2356,2828
61753,2828
42061,2827
57388,2827
52899,2826
52991,2825
49823,2824
59983,2824
13397,2824
59939,2823
49803,2823
39162,2819
12038,2819
26852,2818
27948,2817
59973,2816
37243,2816
44887,2816
18322,2813
60479,2813
48684,2809
17180,2804
2111,2804
26634,2804
22769,2804
1212,2799
17214,2797
59921,2794
50096,2792
2997,2790
49731,2787
2154,2786
6555,2786
17179,2776
10019,2776
51704,2776
39152,2775
2127,2775
2852,2775
2460,2775
64990,2770
49756,2769
54849,2763
43478,2758
2332,2754
7592,2753
1678,2751
34293,2750
6874,2750
4934,2746
60024,2745
1360,2744
48136,2743
3004,2743
1058,2740
57670,2737
6667,2736
63192,2736
50037,2735
49278,2735
60210,2734
43117,2734
57900,2734
59056,2732
1443,2724
59981,2723
35176,2722
34032,2721
1116,2717
49408,2717
21003,2711
49754,2708
49324,2708
1114,2707
58820,2705
2987,2695
1712,2695
38021,2694
50082,2691
48556,2689
2179,2685
49423,2683
2465,2683
2583,2680
2829,2677
33275,2675
64886,2674
49838,2674
39038,2673
21004,2671
57387,2671
2334,2670
4920,2669
59593,2669
2188,2668
58215,2665
59940,2664
54013,2660
50093,2659
1696,2657
34001,2657
1467,2653
41850,2650
46008,2649
1448,2648
54411,2646
17280,2645
50911,2645
58886,2640
2355,2639
53389,2638
49849,2634
2173,2631
2828,2629
60010,2629
56172,2625
59860,2623
34005,2622
58819,2619
57623,2617
50094,2614
50095,2612
49387,2611
18932,2609
35156,2608
39756,2601
48687,2600
34003,2599
4977,2598
51403,2598
52561,2596
49691,2594
1051,2594
2841,2593
49158,2593
53196,2592
39948,2591
1791,2589
59067,2588
54430,2583
2402,2581
57973,2575
39182,2575
37316,2574
46101,2574
4772,2572
34004,2572
33269,2572
32932,2572
64885,2569
58948,2566
49287,2561
1264,2561
1043,2560
43062,2559
57130,2558
59925,2554
50003,2550
49831,2549
48688,2549
48685,2544
12568,2542
1118,2542
51767,2541
2914,2537
54494,2536
33589,2535
2459,2535
12046,2533
50954,2532
59644,2531
40242,2529
33268,2528
38278,2527
4988,2523
2142,2522
55039,2520
35792,2517
33271,2517
1383,2516
64959,2516
10088,2514
2171,2512
49430,2512
2716,2510
49403,2510
49938,2509
49921,2507
54398,2507
49775,2507
61142,2505
60704,2505
58646,2504
11111,2502
17326,2502
56349,2500
19514,2499
52295,2498
52484,2495
49866,2495
33196,2491
48686,2487
34002,2483
1425,2481
10093,2479
54406,2478
48521,2476
4806,2474
17176,2473
49420,2466
49951,2466
57679,2463
43003,2462
17177,2460
49889,2460
17241,2459
60021,2458
1040,2455
38277,2454
50075,2450
41340,2449
49967,2448
58821,2447
48148,2444
59683,2443
61857,2442
49718,2441
57391,2441
2430,2441
10178,2437
41844,2434
43532,2434
3051,2434
3020,2431
53898,2431
3273,2429
50482,2428
40343,2427
4490,2426
49919,2426
25857,2425
11042,2423
17307,2420
53739,2419
40087,2417
49858,2415
4937,2415
49977,2410
34751,2407
4810,2405
17232,2404
49782,2404
43007,2403
49199,2402
4949,2401
54413,2400
61057,2396
53896,2388
17256,2387
50412,2386
41341,2382
10847,2382
61725,2381
35799,2377
36526,2377
57932,2377
49916,2376
57451,2372
49681,2372
57638,2370
65430,2368
49575,2366
7118,2366
51711,2362
60875,2360
57379,2355
39024,2355
49382,2353
2457,2351
43918,2350
52054,2349
34013,2346
55360,2343
10484,2341
1748,2338
1046,2337
49770,2335
49434,2334
56158,2331
3009,2328
53400,2326
36091,2326
51740,2325
39050,2322
40380,2321
2357,2321
2191,2321
64888,2319
49209,2317
10114,2317
54422,2314
57346,2311
2530,2309
35801,2306
45004,2305
49857,2304
4756,2303
54362,2300
54404,2299
41470,2297
4975,2297
63955,2296
4945,2296
1138,2290
12738,2290
54067,2289
30049,2289
138,2289
52883,2288
51742,2287
1357,2285
49847,2284
2375,2282
33475,2281
65249,2280
63266,2279
2936,2278
42857,2277
55610,2276
53894,2273
32805,2271
38004,2271
1293,2268
53897,2268
59335,2265
57474,2264
57306,2263
60628,2262
45058,2260
4802,2256
57450,2255
62472,2254
22593,2254
64498,2252
4696,2250
57681,2250
50007,2249
38279,2248
49473,2247
4992,2245
51325,2239
51749,2239
3052,2238
49288,2237
2039,2237
44267,2237
5743,2236
49273,2235
54947,2235
2104,2235
56347,2234
4826,2231
2851,2231
3044,2230
2591,2228
1616,2228
51444,2227
39153,2227
3030,2225
4001,2223
45778,2223
3918,2222
1887,2219
49832,2216
2595,2216
2912,2215
57416,2212
53900,2212
2767,2212
2410,2212
49851,2209
51747,2206
49727,2205
7834,2204
32347,2203
56612,2201
49283,2200
34660,2199
44171,2197
59908,2197
4969,2197
59608,2197
36093,2194
1162,2193
60047,2191
2733,2189
3007,2187
2738,2186
35529,2186
51997,2186
1800,2186
137,2184
60219,2184
9112,2184
49733,2183
52995,2183
4845,2181
49200,2181
49537,2177
1795,2175
64884,2175
57645,2174
53537,2173
33325,2173
24595,2171
49894,2171
1379,2170
57933,2169
1459,2166
42662,2164
58315,2164
3354,2162
2977,2161
51743,2159
61159,2158
49232,2158
57713,2157
49267,2157
10011,2157
54414,2156
45168,2156
51825,2155
51283,2154
54416,2153
57325,2151
36629,2149
49976,2148
42907,2146
4674,2145
60355,2145
61539,2144
25038,2142
16881,2141
1750,2139
56841,2134
57921,2131
2156,2131
48996,2130
2192,2130
41680,2127
58742,2126
49874,2125
50739,2123
49307,2121
48234,2121
4792,2119
49700,2117
33079,2116
4852,2111
51700,2110
49705,2109
35865,2108
56823,2107
61936,2106
59021,2106
37698,2105
3041,2103
61403,2101
5375,2099
39029,2099
49979,2097
34241,2094
32858,2088
1740,2086
32380,2086
52154,2084
3339,2083
1728,2083
4750,2080
1953,2080
50029,2073
49279,2072
57409,2072
49752,2070
58526,2070
57415,2068
43618,2068
54586,2068
3000,2068
37497,2066
1690,2066
1514,2064
49372,2063
42118,2063
39104,2062
50067,2060
52378,2057
57911,2057
49978,2057
54733,2056
28596,2050
4866,2047
57463,2047
1457,2047
59160,2047
38274,2045
57734,2041
45359,2040
57653,2040
4775,2038
36487,2038
4758,2029
39043,2028
15762,2027
57692,2027
47885,2026
54405,2022
56693,2022
41074,2020
59381,2017
49260,2017
49714,2016
46266,2015
2933,2014
24762,2013
49415,2011
50169,2010
17192,2009
58093,2005
35794,2002
48451,1995
57328,1995
35868,1993
12362,1992
2903,1990
53048,1990
58314,1989
64057,1987
48352,1987
2099,1987
46080,1987
49936,1986
1417,1985
49441,1984
22468,1984
1453,1981
49258,1980
17878,1979
3505,1978
4990,1978
2103,1977
13816,1977
36486,1976
45220,1975
1385,1973
64867,1969
38275,1969
36094,1969
4779,1968
56575,1967
4790,1966
2934,1964
64944,1964
50418,1964
4900,1963
17328,1963
63627,1962
50424,1961
40332,1960
51050,1959
39596,1958
2101,1957
50073,1955
54886,1955
24531,1953
54408,1952
4860,1952
10049,1951
55442,1949
4748,1949
4822,1946
49437,1946
17219,1946
49402,1946
4706,1946
49884,1945
1131,1943
1762,1941
49400,1940
27244,1937
1451,1935
49275,1935
63821,1935
2388,1935
1499,1934
1498,1933
40157,1932
49850,1931
51291,1930
44268,1929
1180,1926
60445,1926
21498,1924
57398,1923
41606,1922
59596,1916
44645,1915
44749,1912
43068,1912
49937,1910
52162,1910
1757,1909
51713,1907
4784,1907
57425,1906
45018,1906
1439,1905
18080,1904
54431,1901
53680,1900
56971,1900
4834,1898
4824,1898
4832,1897
2917,1896
54639,1895
25626,1894
40383,1892
2136,1892
1167,1892
1854,1891
35800,1891
57431,1891
55560,1890
49276,1886
1437,1886
56697,1884
1349,1883
49469,1883
49186,1883
49309,1882
50950,1881
43202,1878
2594,1872
3029,1872
51447,1870
2412,1869
51455,1869
4698,1868
56893,1868
50092,1867
2050,1867
57795,1867
64869,1866
45855,1866
